"id";"permission";"created_at";"updated_at"
1;"/admin";"2024-04-24 05:17:03";"2024-04-24 05:17:03"
2;"/admin/examTable";"2024-04-24 05:17:03";"2024-04-24 05:17:03"
3;"/admin/adminProfile";"2024-04-24 05:17:03";"2024-04-24 05:17:03"
4;"/admin/adminProfileUpdate";"2024-04-24 05:17:03";"2024-04-24 05:17:03"
5;"/admin/adminProfileUpdatePage";"2024-04-24 05:17:03";"2024-04-24 05:17:03"
6;"/admin/adminProfilePhotoUpload";"2024-04-24 05:17:03";"2024-04-24 05:17:03"
7;"/admin/setPhoto";"2024-04-24 05:17:03";"2024-04-24 05:17:03"
8;"/admin/removePhoto";"2024-04-24 05:17:03";"2024-04-24 05:17:03"
9;"/admin/analysis";"2024-04-24 05:17:03";"2024-04-24 05:17:03"
10;"/admin/students/studentdetailspage";"2024-04-24 05:17:03";"2024-04-24 05:17:03"
11;"/admin/students/getstudentdetails";"2024-04-24 05:17:04";"2024-04-24 05:17:04"
12;"/admin/students/resultdetails";"2024-04-24 05:17:04";"2024-04-24 05:17:04"
13;"/admin/students/getrecords";"2024-04-24 05:17:04";"2024-04-24 05:17:04"
14;"/admin/students/getallexams";"2024-04-24 05:17:04";"2024-04-24 05:17:04"
15;"/admin/students/answerkey";"2024-04-24 05:17:04";"2024-04-24 05:17:04"
16;"/admin/students/allexamspage";"2024-04-24 05:17:04";"2024-04-24 05:17:04"
17;"/admin/students/allexams";"2024-04-24 05:17:04";"2024-04-24 05:17:04"
18;"/admin/students/getexamrecords";"2024-04-24 05:17:04";"2024-04-24 05:17:04"
19;"/admin/students/adminadminFeedbackPost";"2024-04-24 05:17:04";"2024-04-24 05:17:04"
20;"/admin/students/examsrecord";"2024-04-24 05:17:04";"2024-04-24 05:17:04"
21;"/admin/students/updateexamsrecord";"2024-04-24 05:17:04";"2024-04-24 05:17:04"
22;"/admin/exams/create";"2024-04-24 05:17:04";"2024-04-24 07:15:00"
23;"/admin/exams/addQuestions";"2024-04-24 05:17:04";"2024-04-24 07:15:00"
24;"/admin/exams/updateQuestions";"2024-04-24 05:17:04";"2024-04-24 07:15:00"
25;"/admin/exams/insertCSV";"2024-04-24 05:17:04";"2024-04-24 07:15:00"
26;"/admin/exams/questions/exportPage";"2024-04-24 05:17:04";"2024-04-24 07:15:00"
27;"/admin/exams/questions/export/pdf";"2024-04-24 05:17:04";"2024-04-24 07:15:00"
28;"/admin/exams/questions/export/csv";"2024-04-24 05:17:04";"2024-04-24 07:15:00"
29;"/admin/exams/topics";"2024-04-24 05:17:04";"2024-04-24 07:15:00"
30;"/admin/exams/api/topics";"2024-04-24 05:17:04";"2024-04-24 07:15:00"
31;"/admin/exams/api/difficulties";"2024-04-24 05:17:04";"2024-04-24 07:15:00"
32;"/admin/exams/api/questions";"2024-04-24 05:17:04";"2024-04-24 07:15:00"
33;"/admin/exams/api/create";"2024-04-24 05:17:04";"2024-04-24 07:15:00"
34;"/admin/exams/api/questions/update";"2024-04-24 05:17:04";"2024-04-24 07:15:00"
35;"/admin/exams/api/questions/details";"2024-04-24 05:17:04";"2024-04-24 07:15:00"
36;"/admin/exams/topics/deleteCategory";"2024-04-24 05:17:04";"2024-04-24 07:15:00"
37;"/admin/exams/topics/editCategory";"2024-04-24 05:17:04";"2024-04-24 07:15:00"
38;"/exam/startexam";"2024-04-24 05:17:04";"2024-04-24 05:17:04"
39;"/exam/showexam";"2024-04-24 05:17:04";"2024-04-24 05:17:04"
40;"/exam/examList";"2024-04-24 05:17:04";"2024-04-24 05:17:04"
41;"/exam/submitexam";"2024-04-24 05:17:04";"2024-04-24 05:17:04"
42;"/exam/checkmark";"2024-04-24 05:17:04";"2024-04-24 05:17:04"
43;"/exam/expired";"2024-04-24 05:17:04";"2024-04-24 05:17:04"
44;"/user/userDashboard";"2024-04-24 05:17:04";"2024-04-24 05:17:04"
45;"/user/userProfile";"2024-04-24 05:17:04";"2024-04-24 05:17:04"
46;"/user/userProfile/update";"2024-04-24 05:17:04";"2024-04-24 05:17:04"
47;"/user/userScore";"2024-04-24 05:17:04";"2024-04-24 05:17:04"
48;"/user/results";"2024-04-24 05:17:04";"2024-04-24 05:17:04"
49;"/user/profileImage";"2024-04-24 05:17:04";"2024-04-24 05:17:04"
50;"/user/userProfile/update";"2024-04-24 05:17:04";"2024-04-24 05:17:04"
51;"/user/getScores";"2024-04-24 05:17:04";"2024-04-24 05:17:04"
52;"/user/removeProfile";"2024-04-24 05:17:04";"2024-04-24 05:17:04"
53;"/user/getresults";"2024-04-24 05:17:04";"2024-04-24 05:17:04"
54;"/user";"2024-04-24 10:43:38";"2024-04-24 10:43:38"
56;"/admin/exams/questions/view";"2024-04-25 10:29:09";"2024-04-25 10:29:09"
57;"/user/userFeedback";"2024-04-25 15:48:23";"2024-04-25 15:48:54"
58;"/admin/exams/sampleCSV";"2024-04-26 11:07:25";"2024-04-26 11:07:25"
59;"/user/useranswerkey";"2024-04-27 09:42:09";"2024-04-27 09:42:09"
60;"/user/userFeedback/getFeedbackValue";"2024-05-02 09:16:12";"2024-05-02 09:16:12"
61;"/user/userFeedback/getAllFeedbacks";"2024-05-02 09:16:12";"2024-05-02 09:16:12"
62;"/user/userFeedback/SelectFeedback";"2024-05-02 09:16:12";"2024-05-02 09:16:12"
63;"/admin/exams/deleteExam";"2024-05-02 10:35:20";"2024-05-02 10:36:33"
64;"/admin/students/adminFeedbackPost";"2024-05-03 09:31:06";"2024-05-03 09:31:06"
65;"/admin/students/selectFeedback";"2024-05-03 09:31:06";"2024-05-03 09:31:06"
66;"/admin/students/viewAdminFeedback";"2024-05-03 09:31:06";"2024-05-03 09:31:06"
